TranslatedRecipeName,TotalTimeInMins
Methi Sprouts Salad,15
Lebanese Style Caramelized Onion Pilaf with Fried eggs,40
Thai Style Paneer Toast,40
Sprouted Moong Chaat,35
Hunase Saaru,30
Eggless Custard Cookie,60
Egg Dosa,28
Sweet Potato Balls  Stuffed With Cheesy Garlic Mayo,60
Baked Palak Ki Mathri  ,60
Mixed Vegetable Handi,45
Aloo Matar Sabzi,44
Frozen Royal Crumb,40
Macha Mahura,30
Chettinad Muttai Masal,50
Amarod Wright,15
Roasted Pumpkin Spinach and Walnut Spaghetti,35
Oat Banana Pancakes,35
Mutton Dum Biryani,90
Pita Saga Bati Basa,25
Mint Coriander Spice Pulao,25
Maharashtrian Green Chilli Thecha,15
Tart Provencal With Ratatouille,135
Chettinad Kathirikai Chops,40
Shanghai Style Mantou,40
Karnataka Style Southekayi Sippe Chutney  ,20
Savory Semolina Breakfast Pudding,35
Masala Dosa  With Vegetable Filling,40
Almond Nu Gosht,30
Mizoram Style Arsa Beipenek,55
Konkan Style Modachia Mangachi MT,35
Pudina Tambuli,15
Eggless Spicy Spinach Bread,60
Palak Makki Ki Roti,35
Egg White Frittata With Roasted Vegetables,40
Aloo Dal Pakoras,80
Roasted Potato Wrap/Roll  With Spiced Cheese Sprea,40
Vankaya Ulli Karam,35
Vetrilai Thogayal,40
Batata Nu Shaak,55
Spicy Jawla Stuffed In Brinjal,35
Verkadalai Sunda,20
Paneer Raw Mango Curry,40
White Chocolate Maltesers Fudge,40
Badam and Khus Khus Milk,30
Bhut Jolokia Murgh,70
Chyna Upper,50
"Cauliflower Crust Pizza With Pesto, Sundried Tomatoes & Goat Chees",60
Chicken Tomato Macaroni,100
Vegetarian Laksa Curry,70
Hara Pyaz Paratha,35
Shahi Dal,45
Buttered Carrot Fingers  ,15
Palak Paratha,50
Avocado Chocolate Pancakes,25
Paneer Kalimirch  ,55
Homemade Summer Pasta Salad  With Herb,40
Murungai Keera Masala Vada,200
Kadai Egg Masala,70
Karnataka Style Ranjaka  ,25
Pyaaz Ki Sabzi ,40
Carrot Idli,25
Spring Onion & Roasted Garlic Brown Rice,65
Lemon Pudina Curry Leaf Shikanji  in Hind,10
Bread Halwa,30
Singhade Ka Achar  ,40
Prawns Theeyal  ,55
Beetroot Chutney,40
Bengali Style Chingri Macher Cutlet  ,40
Angaya Podi,20
Carrot And Capsicum Mix Dal,40
Delhi Style Fruit Chaat,30
Mamidikaya Pappu,40
Easy Creamy Chicken Curry,42
Pumpkin Thoran,25
Potato Vindaloo,40
Green Chutney,30
Panchmel Dal  | Rajasthani Dal | Panchkuti Da,40
Garlic Mint Chutney,40
Chicken Vindaloo,40
Sweet Potato & Methi Stuffed Paratha,90
Karela Muthia,35
Rich Chocolate Cheesecake,800
Thai Style Fried Bananas,60
Pohala Jhola  ,50
Assamese Bilahir Tok,25
Misa Maas Kordoi Tenga  ,35
Karnataka Style Menthya Soppu Hesaru Kaalu Palya,30
Macaroni With Tahini Sauce,20
Thayir Vada  ,105
Paneer Methi Paratha,50
Pahari Style Phanu,155
Tandoori Chicken Crostini,100
Gujarati Dhokla Pizza,40
Chanar Dalna ,75
Avarekalu Payasa,25
Kerala Style Eggplant Curry,50
Whole Wheat Crepes With Roasted Vegetables And White Sauce,40
Strawberry Raita ,30
Eggless Mango Cake,75
Amritsari Ajwaini Paneer ,60
"Rava Upma  With Peanuts, Peas & Cor",30
Tamil Nadu Style Kothamali Aval Upma,25
Carrot Puree,25
Heart Shaped Sugar Cookies,90
Eggless Chocolate Banana Cake,65
Cranberry Whole Wheat Naan,70
Paneer And Grapes Platter,30
Methi Masoor Dal  With Whole Masoo,40
Chocolate Flan Cake,80
Spinach And Paneer Samosa  With Figaro Pure Olive Oi,60
Karnataka Style Badnekayi Mosaru Gojju,50
Assamese Poita Bhat With Aloo Pitika,25
Chicken Taquitos,35
Lobia Masala ,45
Lebanese Style Mujaddara,45
Sindhi Kheerni,30
Papaya Basil Smoothie With Chia Seeds,10
Whole Wheat Methi Garlic Naan   | Oven Method with yeas,140
Savory Oatmeal Bowl with Sautéed Spinach and Corn,25
Marghi Na Farcha,45
Spaghetti Aglio Olio Pasta  with Baco,45
Chicken In Tomato Onion Gravy,30
Mangalorean Style Bella Metthe Dosa  ,570
Hariyali Paneer Tikka Masala Gravy,45
Chocolate Crinkle Cookies,60
Chicken Mapas,55
Gavar Pumpkin Sabji,30
Watermelon Bocconcini Arugula Salad,10
Strawberry Compote  ,30
Awadhi Style Sultani Dal,40
Pomegranate Flavoured Stuffed Khandvi,50
Lemon Cherry Berry Spa Water,20
High Protein Soya Dosa,405
Doi Bhetki,70
"Ginger, Lemon And Honey Kadha",10
Maharashtrian Style Gajarachi Koshimbir,30
Red Chilli and Tomato Pachadi,15
Rajasthani Laal Maas,50
Vegetable Pasta Soup,40
Mor Milagai,10
Whole Wheat Spinach Paneer Lifafa Paratha,65
Instant Palkova  ,30
Chinese Chicken Fried Rice,20
Kathirikai Gotsu,50
Roasted Cauliflower Broccoli Au Gratin,60
Himachali Khatta  ,580
Kung Pao Spaghetti,40
Rajasthani Kalmi Vada,30
Burnt Garlic Mushroom Fried Rice,35
Refreshing Smoothie  With Cucumber & Kiw,15
How to Make Tutty Fruity,80
Himachali Bhey,50
Chalimidi,65
Cabbage Bhurji ,30
Achari Baingan Bharta ,55
Tomato Onion Chutney  With Coconut And Min,15
How to Cook Lentils ,30
Tangy Lemon Pickle  With Kalonji & Rock Sal,35
Dal Kabila,30
Avocado Salsa Open Multigrain Toast With Fried Egg,30
Masala Oats And Potato Sandwich,40
Basbousa,100
Spicy Egg Biryani  with Figaro Olive Oi,100
Whole Wheat Lemon & Cranberry Muffins,50
French Toast Jam Roll Ups,15
Roasted Potatoes With Za'atar,45
Kadhai Paneer,50
One Pot Tomato Rice  Using Preethi Electric Pressure Cooke,40
Baked Bitter Gourd Bhajji,45
Quick & Spicy Mutton Curry,60
Aloo Beans Sabzi,40
Oven Crisped Burritos with Shredded Chicken,55
Bajri Methi Na Vada,50
Lauki Paratha,50
Hunase Gojju,40
Herbed Potato Salad,50
No Onion No Garlic Aloo Makhana Sabzi ,45
Carrot Capsicum Poriyal,30
Kadai Mushroom,30
Beetroot Carrot Raita,25
Crunchy Fish Taco,45
Masala Jowar Bhakri,35
Green Moong Dal Sundal,440
"Mexican Breakfast Tortilla, Fried Eggs & Black Beans With Salsa",25
Bengali Chirer Pulao,35
Pan Fried Chinese Chilli Chicken,50
Instant Oats Rava Idli,30
Maharashtrian Style Farasbi Chi Bhaji,25
Creamy & Delicious Egg Mayo Sandwich,40
Watermelon And Corn Salad,15
Pumpkin Creme Brulee,40
Vegan Curried Rice with Chickpeas,55
Vegan Godhi Payasa,170
Vegan Curried Rice With Chickpeas,55
Maize Daliya Khichri,30
Spiced Beetroot Buttermilk,25
North East Khapse  ,50
Pea And Spring Onion Soup,40
Baked & Crisp Whole Wheat Methi Puri  ,50
Pumpkin Chapati,35
Vepilakatt,25
Khaman Dhokla Poha,45
Singhare Atte Ka Halwa/Sheera  ,45
Gajar Vadi,35
Soya Chunks Pepper Curry,30
Mexican Inspired Vegetarian Oven Roasted Stuffed Pepper,85
Phulka ,40
Pan Fried Brussel Sprouts,20
Ravioli  With Broccoli Filling In White And Red Sauc,50
Kerala Style Jack Fruit Seeds Stir Fry ,50
Doi Ilish,25
Vegetable Clear Soup,55
The Homemade Hard Taco Shells,30
Paneer Stuffed Ragi Paratha,35
Tangy Corn Tamatar Bharta ,30
Sri Lankan Beans With Coconut,40
Buttered Peas Puree  For Babies Above 6 month,25
Vegetable Dal Pakora,50
Gajar Ka Halwa ,75
Healthy Brown Rice Salad,40
Bhaji Miligai And Baby Potato Fry,25
Baingan Masala ,50
Quino,60
Sprouted Ragi & Rajma Cutlets,55
Creamy Thai Sweet Potato Curry,60
Carrot Capsicum Poriyal,30
Paneer in White Gravy,35
Thor Chal,60
Chicken Galouti Kebab,75
Chatpata Aloo Chaat Taco  With Sour Cream & Sala,15
Eggless Sugarless Oats And Nuts Cookie,75
Badam Halwa,80
Sweet Corn Poriyal ,15
Palak Dhania Dosa ,55
Stuffed Karela With Aloo,60
Indo Chinese Chicken Hakka Noodles,30
Lau Chingri  ,30
Paneer Tikka Pulao,50
Thai Jasmine Sticky Rice,50
Raw Banana & Ajwain Paratha,40
Strawberry Coconut Trifle Pudding,435
Spicy Soya Keema Masala,40
Greek Style Green Beans Stir Fry,50
Kothamalli Karuveppilai Sadam,45
Egg Sholay Kebab,25
Methi Chaman,40
Quick Microwave Chocolate Pudding,35
Healthy Ragi Energy Balls with Strawberry,55
Lemon Rosemary Sauce Baked Penne Pasta,35
No Churn Strawberry Ice Cream,375
Spaghetti With Broccoli And Smoked Almonds,15
Pizza With Soy And Corn,60
Anardana Chutney,35
Healthy Jamun Cooler  ,25
Senai Kizhangu Gotsu,40
Classic Greek salad,30
Classic Pavakkai Stir Fry  ,30
Maharashtrian Misal Pav,90
Mughlai Fish Curry,35
Karuveppilai Chutney Podi,30
Refried Beans and Mushroom Tostada,65
Cranberry Cookie,55
Malabar Style Dates Coriander Chutney,20
Masaledar Moongphali Til Wale Aloo,20
Mangalorean Manoli Curry,45
Basil Tea,12
Mysore Chutney,65
Mangai Inji Pickle,20
Bengali Style Mixed Vegetable Sweet Pilaf,60
Mulakushyam,48
"Sweet Potato, Celery & Peanut Soup",45
Caprese Empanada  With Tomato Basil And Mozzarell,190
Lapsi,50
Asian Watermelon Salad,20
Karnataka Style Obbattu Saaru,75
Apple Halwa ,30
Giant Chocolate Chunk Cookie  with Walnut,65
Brinjal Methi Bharta  with Pomegranat,50
Mushrooms And Zucchini Puffs,85
Sri Lankan Chilli Potatoes,20
Radhaballabhi  ,80
Spinach Ricotta Balls in Garlic Tomato Basil Sauce,45
Methi & Pudina Aloo Sabzi,35
Fruit Tart,40
Parsi Style Baingan Capsicum Ka Salan,40
Savoury Crepes with Za'atar Spiced Chicken,40
Recheado Chicken Naan Wraps,90
Vegetable Tortilla Pizza,20
Roasted Onion Gosht,60
Dherosh Chingri Jhol  ,40
Aloo Bread Pakora,40
Spicy Mushroom Puffs  ,50
Instant Chilli Pickle,25
Bhakri Chaat  With Green Moong Sprouts And Alo,60
Rawalpindi Style Chole,55
Achari Pumpkin Vegetable,40
One Pot Butter Chicken Khichdi,35
Veg Makhanwala,45
How to make Egg Free Mayonnaise,40
Sindhi Style Besan Tikki Ki Sabzi,75
"Turmeric, Ginger And Chilli Pickle",40
Spicy Matar Masala,60
Andhra Style Davva Aava koora  ,45
"Broccoli, Carrot And Capsicum Sabzi",35
"Mushroom, Spinach & Herbs Frittata with Egg White",20
Spinach Hummus,30
Pinto Bean Salsa Salad,20
Chicken Momos,60
Broccoli Egg Bhurji,30
Avocado And Almond Salad  With Feta Chees,15
Masala Akki Roti With Spinach,100
Spinach Khandvi,50
Spiked Onion Casserole,40
Rajasthani Kadhi,40
Kashmiri Methi T Golemach,55
Carrot Cake Pancakes,40
Oats Cheela  Stuffed With Creamy Palak Panee,60
Eggless Lemon Pound Cake,50
Vegan Mango Lassi,15
Thandai Ladoo ,30
Puli Inji,30
Tandoori Mayonnaise Chicken Cigar,90
Russian Radish Cucumber Salad,16
Egg Pakora,45
Aloo Matar Pudina Tikki,50
Cabbage Besan Fry,30
Gavar Ki Sabzi ,30
Soya Keema Aloo Paratha,55
Curd Rice With Carrots,50
N,110
Eggless Mango Muffins,40
Hyderabadi Khatti Dal  ,60
North Arcot Special Thavalai Dosai,90
Oats Sugar Pongal,45
Chatpata Lobia Chaat,20
Chettinad Style Pepper Cabbage,20
Indori Poha,40
Chocolate Chip Cookies With Coconut,45
Singhara Ato Chill  ,45
Spiced Ghee Rice  | Neychor,50
Maharashtrian Tandalachi Ukad,10
Parmesan Corn Chili Fries,170
Banana Stem Chickpea Curr,65
Dal Fara  ,70
Chinese Fried Rice  With Chicken And Shredded Lettuc,20
Aval Payasam,30
Spicy Tomato Ric,15
Punjabi Style Egg Curry,40
Bhopali Style Gosht Ka Pulao,95
Chilled Spinach And Cucumber Soup,45
Bengali Holud Mishti Pulao,50
Chotti Aloor Dum,50
Mango Rice Noodle Salad With Cucumber & Carrot,25
Mooli Bhurji,35
Gilka Bhajji,30
French Toast  Flavored with Orang,35
Bisi Bele Bath,75
Mushroom Methi Brown Rice,55
Godhi Chutney Podi  ,40
Suji Manda Pitha/Sweetened Coconut Stuffed Semolina Dumplings,55
Spinach Enchilada,55
Healthy General Tso's Chicken,55
Crostini With Peppers & Cheese,35
Karnataka Style Hurali Kalu Saaru,175
Mushroom and Prawn Malai Curry,50
Sweet and Spicy Raw Mango Chutne,30
Carrot Curd Rice,50
Beerakaya Tomato Koora  ,25
Sholeh Zard,30
Tamarind Chilli Potato,50
Cheese and Bacon Pinwheels,130
Vegetable Pasta Soup,40
Roasted Tomato Basil Pasta & Pizza Sauce,40
Paal Payasam,50
Spicy Indian Style Onion Rings,45
Penne Arrabbiata Pasta,50
Amritsari Gobi Matar  ,71
Green Peas Sandwich,15
Congress Buns,40
Lemon 7 Up Cake,195
Methi Moong Dal,50
Sprouted Moong And Onion Pakor,30
Beetroot Juice  With Cucumber & Pineappl,15
Andhra Vankaya Fry  With Peanut,40
Banana Apple Porridge  ,15
One Pot Masala Vegetable Rice,60
Beans Vepudu  ,25
Lentil Spinach,30
Rose Greek Yogurt Dessert  With Pista & Coconu,55
Chicken Tariwala,60
Hyderabadi Laziz Lamb Handi,75
Green Beans Egg Scramble,35
Raw Mango Puliyogare Gojju  With Peanut,35
Broccoli Chocolate Muffins,27
Stuffed Bharwa Tinda  ,45
Tadkewali Masoor Dal Khichdi  With Garlic & Onion,45
Maharashtrian Kulith Shengole,30
Saffron Cream Milk,130
Lentil Bread Buttermilk  ,40
Chocolate And Semolina Halwa,30
Eggless Whole Wheat Banana Bread,75
Pan Grilled Balsamic Chicken Breast And Mushrooms,30
Himachal Pahari Style Teliah Mah  ,145
Arbi Ajwain Ki Sabzi  ,40
Barnyard Millet Mushroom Biryani,40
Hig,30
Delicious Methi Chicken Curr,100
Mexican Fiesta Soup With Roasted Tomatillo Pesto,25
North Indian Sooji Halwa,40
Mustard Green Chilli Pickle,10
Mint & Coriander Chilli Potato Salad,30
Orange Peel Kuzhambu,30
Mixed Vegetable Rice Cutlet,35
Aloo Took,70
Poliyodharai / Puliyogare  ,55
Andhra Steel Kandi Attu  ,175
Quinoa Chocolate Carrot Cake,80
Easy Homemade Sugar Free Dates Flavored Yogurt,20
Kancha Peper Kofta Curry,45
Crepes Stuffed with Nutella and Seasonal Fruits,30
Easy Homemade Queso Dip,10
Motichoor Modak,60
Ragi & Oats Rava Idli,40
Scrambled Tofu Noodles,20
Methi Soya Chunks Vegetable,50
Avocado Mint Soup,25
Roasted Beet Salad  With Pearl Barley & Spinac,35
Chinese Egg Drop Soup  ,25
Braided Almond Roll,70
Maharashtrian Masale Baath,65
Salted Caramel Sauce,35
Karnataka Style Badanekai Yennegai Gojju  ,55
Niramish Aloo Dum Sabzi ,45
Murg Anardana,40
Bell Pepper & Cheese Macaroni,40
Udupi Style Sannappa  ,100
Hariyali Tawa Fish Fry,30
Tomato All ,40
Iyengar Bakery Khara Biscuit,60
Cabbage Thoran / Poriyal,45
Grilled Hummus Paneer Bhurji Sandwich,30
Frui,130
Carrot and Beans Thoran ,50
Masoor Dal and Rajma Masala,35
Watermelon Margarita Granita,15
Andhra Red Chilli Chutney,20
Thai Baked Chicken Satay  With Thai Peanut Sauc,50
Mutton KM Samos,60
Dhaba Style Green Moong Dal Tadka,50
Carrot And Orange Loaf Cake,60
Orange Kulfi  In Orange Shell,70
Banana And Mango Smoothie,15
Tandoori Paneer Samosa,220
Goan Pumpkin Sabzi,30
Pumpkin Halwa ,55
Spicy Schezwan Vegetable Noodles,50
Maharashtrian Style Kakdichi Amti ,35
No Onion And No Garlic Aloo Gajar Matar Ki Sabzi,30
Tomato Chickpea and Coconut Soup,500
Pakki Mutton Biryani,65
Veg Chilli Milli,50
Kathal Biryani,90
Strawberry and Avocado Caprese Salad,10
Malai Chickpea Kebab,525
Aloo Poha,50
Penne Pasta  In Spinach Pesto Sauc,50
Arhar Ki Dal,50
No Onion No Garlic Aloo Gajar Ki Sabzi ,40
Instant Garlic Pickle,30
Bhoplyache Gharge  ,50
Little Millet Pudding,25
Brown Rice & Quinoa Risotto,55
Sama Khichdi,45
Gulab Jamun  With Khoy,55
Bakery Style Baked Nippattu,60
Besan Bread Toast  On Taw,20
Baby Corn and Capsicum Masala,60
Paneer Kulcha,170
Ragi and Oats Breakfast Bowl,20
Pudina Moong Dal,35
Red Poha And Flax Seeds Ladoo,30
Homemade Soft Idli,500
Moong Dal Sookhi Sabzi ,30
Goan Style Baby / Baby / Baby,80
Vegan Chocolate Fudgesicles,40
Dhaba Style Green Moong Dal Tadka  ,50
Chicken Malai Kabab,40
Bengali style meat broth,225
Methi Matar Pulao ,65
Badam Sharbat,40
Spicy Rice Stuffed Paratha,45
Maharashtrian Style Dashmi Roti  ,50
Broccoli Paneer and Peanut Masala,60
Stuffed Yellow Moong Dal And Onion Paratha,40
Baked Banana Chips,45
Tamil Nadu Style Pulses Broth,60
Soya Keema Masala,45
Potato And Paneer Reuben Sandwich,35
Mangalorean Chana Gassi,35
Tisrayanche Suke  ,50
Eggless Spiced Carrot Olive Cake,85
Stuffed Capsicum With Sweet Potato,45
Kumbakonam Filter Coffee,35
Assamese Fish Fried Rice,25
Chettinad Style Puliogare Gojju,50
Moong Sprouts Pulao,50
Grated Cucumber Raita,5
Suran Fodi,100
Whole Wheat Stuffed Breadsticks,85
Andhra Style Makka Garelu  ,40
Pineapple Cucumber Salad  With Lemon Dressin,25
Pull Apart Bread With Basil Pesto,105
Millet Pumpkin Bread,40
Fenugreek salt pare,40
Mooli Ki Sabzi ,30
,45
Easy Sabudana Vada With Arrowroot Powder,30
Cheese Balls With Capsicum,50
Andhra Style Pulihora  ,50
Sweet Potato Sabzi,40
Achappam  | Kerala Style Fried Rose Cookie,35
Kerala Style Mutton Stew,40
Vazhaipoo Vadai  ,65
Khira Gaintha,60
Foxtail Millet Nucchina Unde  ,15
Senai Pachadi  ,40
Punjabi Style Tinda Sabzi,20
Pumpkin Stew With Chickpeas,40
Schezwan Style Chinese Veg Samosa,55
Mexican Sizzler,60
Pudina Rasam,20
Dry Moong Palak Dal,65
Ceylon Egg Parotta,50
Tomato Tarts,65
Eggless Saffron Laced Almond Cookies,45
Aubergine Layered Baked Corn Cheese Quinoa Pasta,45
Corn Okra,35
Broccoli Cheese Mayo Sandwich,40
Pesto Pizza With Mushroom And Bell Pepper,85
Broccoli Capsicum Pulao,60
Maple Roasted Cinnamon Spiced Latte,10
Raw Mango Coconut Chutney,25
Nolen Chawal Bhog  ,35
Makhana Aloo Tikki  ,30
Peanut Chutney Podi,10
Chicken Pasanda,55
Udupi Style Sambar,50
Tandoori Potato Wedges,50
Hariyali Chicken Tikka,110
Homemade Low Fat Strawberry Frozen Yogurt,70
Semma Rice Coconut Milk Sauce,70
Badam Milk,35
Spicy Potato Chutney Sandwich,30
Andhra Style Urlugadda Munagakaya Charu,30
Shredded Mutton With Caramelized Onions,60
Buttered Broccoli Poriyal Sabzi,12
Kathirikai Poondu Pirattal,45
Roasted Carrot & Green Pepper Hummus,40
Broken Wheat and Mixed Millet Upma,50
Herb & Cheese Mushroom Omelette,40
Quick And Easy Baked Beans Shakshuka,35
Bengali Aloo Jhinge Posto Curry  ,45
Bhogichi Bhaji  ,40
Sweet Corn And Raw Mango Salad,15
Crunchy Creamy Coleslaw,20
Maharastrian Style Bharli Bhindi,40
Mixed Vegetable Akki Roti,85
Bitter Gourd Peel Puri,35
"Green Apple, Radish & Pepper Salad",30
Mangalore Cucumber Chana Dal Subzi,40
Bitter gourd poriel,50
Bengali wash,90
Mushroom Curry,45
Vagharela Chawal,25
Pudina Sooji & Oats Dhokla,45
Rajma and Corn Salad,25
Awadhi Style Taheri ,50
Besan Katli Ki Sabzi,50
Bengali Style Khichuri Aar Labra,85
Parwal Ki Mithai,70
Chicken & Bell Pepper Skewers,90
Broken Wheat And Apple Porridge,55
Chocolate Banana Smoothie Bowl,10
Classic Banana Walnut Steamed Bread  in Preethi Electric Pressure Cooke,35
Pathare Prabhu Roath  ,100
Mee Bakso,35
Zesty Fish Quiche  Flavored With Cheesy Garlic May,100
Ice Cream Cake  With Chocolate Mocha Frostin,55
Spinach & Apple Salad  With Orange Dressin,20
Homemade Roasted Bell Pepper Pasta Sauce,35
Kacche Aam Ki Launji,40
Lemongrass Tomato Corn Soup,50
Mulangi Thoran,40
Bellada Coffee  With Milk ,15
Kadhi Pakora,15
Spicy Potato Wraps,35
Bitter Gourd Chips,20
Beetroot Rosti,25
Stuffed Mushrooms With Spinach & Parmesan,55
Broccoli Cream Kofta,60
Sweet Potato Flatbread,40
Kerala Style Appam  Without Yeas,620
Senai Kizhangu Varuval,45
Eggless Peach Cobbler,75
Chicken And Egg Soup,40
Tomato Chole,60
Horsegram Dal,510
Herbed Muffins With Cheese,40
Broccoli Rava Idli,30
Kobbari Charu,50
Eggless Dark Chocolate Cookies With Almonds,80
Super Food Green Smoothie  With Greek Yogurt Papaya Spirulina & Wheat Gras,10
Sweet Lime Soda,10
Konaseema Kodi Kura,40
Malai Kofta Curry,60
Achari Masala Powder,15
Konkani Style Alasande Randayi,180
Sweet And Spicy Tofu Salad With Beetroot,35
Madras Lamb Curry,65
Moolangi Tovve,40
Aloo Simla Mirch Ki Sabzi ,50
Carrot And Broccoli Poriyal,40
Cabbage & Buttermilk Curry,35
Kheel Paniyaram  ,105
Dhaba Style Dal Fry,30
Ragi Onion Uttapam,50
Sabudana Vada,45
"Ragi, Wheat & Oat Waffles  With Maple Syru",35
Oats and Vegetable Kebab,50
Chana Methi Dal ,45
Creamy Alfredo Cauliflower Pasta,40
Nolen Gurer Payesh,60
Akuri  ,30
Gujarati Mooli Bajra Muthia,45
Spicy Chana Chaat Frankie,55
Chow Chow Milagu Kootu,25
Panjiri,35
Overnight Oats  ,375
Matar Poha ,25
Baked Lebanese Pumpkin Kibbi,60
Cheese Garlic Naan,45
Andhra Style Green Chilli Chicken,75
Paneer Biryani,55
Ilish Pulao,50
Nihari Gosht,55
Nankhatai,50
Chickpea Flour Crepes  With Salad And Chutney Sprea,30
Tamil Nadu Style Paneer Kurma,45
Pudina Buttermilk,10
Mushroom And Quail Egg Gougere,85
Kashmiri Paneer Gravy,25
Spicy Onion Tomato Masala Sandwich,40
Chickpea Soup,35
Crispy Oven Roasted Curried Chickpeas,180
Rose Flavoured Shahi Tukda,30
Watermelon Rasam,20
Bannada Saute Majjige Huli  ,40
Papaya Sorbet,630
Tamatar Gosht,50
Masala Chaas,10
Karnataka Style Harive Soppu Bendi  ,20
Matar Masala,50
Pesara Pappu Pulusu,25
Moong Bhajji,40
Khichdi Roti रेसिप,15
Kumror Chokka,150
Spicy Jalapeno Scrambled Eggs,25
"Oats, Peas & Tofu Stuffed Paratha",45
Plum Galette  With A Flaky Whole Wheat Pie Crus,105
Vadyancho Ross  ,20
Kadale Chutney,20
Spicy Potato Roast  ,40
Roasted Tomato And Mozzarella Caprese Salad With Basil Balsamic Vinegar,15
Sichuan Da,40
Spaghetti Pasta  in Basil Pesto Sauc,60
Chicken Xacuti,55
Punjabi Mixed Vegetable Kadai,35
Soya Chunks Sabzi ,30
Lemon Coriander Soup,30
Veg Makhanwala,45
Goan Vegetable Curry,35
Cauliflower Fried Rice ,30
Chicken Rendang,30
Chocolate And Oats Christmas Cookie Cake,60
Nepalese Mutton Curry,55
Beetroot Stew with Coconut Milk  ,50
Stuffed Jacket Potatoes,35
Palak Puri  ,30
Guilt Free Fruit Cream,25
Greek Style Gigantes Plaki,305
Laal Maas Biryani,90
Makhana Badam Mixture,30
Ridge Gourd Pachadi,30
Kashmiri Style Rista,70
Ayala Fish Fry,35
Irish Cream Bundt Cake,75
Aubergine in Spicy Peanut Sauce,35
Paneer Cheese Puffs,60
Rajasthani Kadhi,40
Matkiche Vade,50
Halloumi Bruschetta  with Tomato and Roasted Red Capsicu,40
Egg Kothu Paratha,40
Moru Kachiyathu,20
Dal Vada with Oats and Vegetable,50
Maharastrian Varan Phal,50
Asian Style Bean Sprout & Corn Salad,30
Tres Leches,70
Vegan Chocolate Mocha Banana Cake,55
Baked Jaggery Rasgulla,40
Crispy Corn And Bell Peppers Chaat,30
Aloo Gobi Methi Tuk ,35
Gujarati Badshahi Pulao,50
Homemade Sev,60
Brinjal Capsicum Sabji ,25
Masala French Toast,40
Raw Banana Thoran,25
Hunan Style Smacked Cucumber Pickles,20
Creamy Kulfi Kebab  With Tandoori Mayo,60
Spinach Sun Dried Tomato Pasta,35
Moong Dal Sookhi Sabzi,30
Gajar Vadi,35
Broccoli And Aloo Poriyal  ,35
Frozen Strawberry Yogurt With Honey,370
"Roasted Cauliflower, Celery And Carrot Creamy Vegetable Soup",35
Bengali Chapor Ghonto,225
Simple Steamed Indian Beet Salad,25
Bhindi And Paneer Masala,40
Caramelized Onion Tart with Ricotta Cheese,150
Schezwan Poha ,25
Assamese Machor Tenga Anja,40
Quick Chocolate Pudding,30
Bengali Style Raw Mango Da,55
Kerala Thenga Chammanthi,5
Potato Onion Cheela,25
Pumpkin Dal With Garlic Tadka ,45
Nawabi Mixed Vegetable Gravy,60
Cauliflower Leaves Chutney,25
Lobia Kebabs  ,55
Thai Pineapple Vegetarian Fried Rice  ,35
Chinese Vegetable Dry Manchurian Balls  ,35
Peshawari Kala Chana,60
Peas Pulao,35
Creamy Mushroom Mini Pie,370
Hara Dhania Paratha,40
Watermelon Seeds And Pumpkin Seeds Podi,35
Gulachi Poli  ,50
Dubki Wale Aloo,45
Paruppu Urundai Rasam,50
Chinna Vengaya Puli Kuzhambu  ,50
How To Make Homemade Almond Flour,20
Moong Dal Dosa ,100
Arachuvitta Sambar,60
Rabodi Ki Sabzi ,30
Sweet and Spicy Pineapple Paneer Tikka Tawa Pizza,135
Sukhe Methi Chole,520
Mint Curd Rice,30
Healthy Whole Wheat Brown Butter Banana Bread,65
Maharastrian Batatyachi Bhaji,55
Mexican Style Sopa De Frijol,100
Gopalkala,20
Linzer Cookies,76
Chinese Style Sweet And Spicy Broccoli Stir Fry With Sausage,25
Alu Bukhara Murgh,100
Homemade Red Chilli Garlic Sauce,15
Peach Lassi,15
Masala Jowar Methi Roti,40
Kesar Mawa Gujiya,50
Chocolate Rava Ladoo,40
Baked Masala Namak Para,30
Paneer Sweet Kadla Curry,525
Hearty Vegetable Tortilla Soup,50
Boondi Ki Kheer,30
Suran Ja Tuk,35
Achaari Aloo Gobhi ,50
Tofu Scramble,25
Mexican Chicken Soup,55
Soulful Chicken Soup,35
Malabar Parrot,55
Lahori Aloo,65
Pinacolada Smoothie,20
Tangy Tamarind Pumpkin Curry,50
Homemade Kit Kat Bars,25
Kongunadu Chicken Curry,45
Stuffed Mooli Paratha  ,65
Vegan Hot Chocolate,10
"Roasted Pumpkin, Orange and Urad Dal Salad",30
Instant Lemon Pickle,40
Cauliflower Soup,40
Kothamalli Thogayal  | Coriander Leaves Chutne,15
Bottle Gourd & Mint Vegetable Juice,15
Kashmiri Style Noon Chai,20
Karnataka Style Mangrasa,25
Huli Soppu Saaru,30
Andhra Style Aratikaya Vepudu,30
Mumbai Style Spicy Murmura  ,30
Cheesy Chicken Ala Kiev,40
Rajasthani Dal,270
American Perugu Pachadi,25
Bhindi Masala Curry,50
Cheesy Aloo Paratha,30
Chinese Egg Fried Rice  With Oat,40
Segdalu,60
Matar Masala Tofu,20
Beans and Matki Bhaji,50
Gujarati Style Oriya Pak,60
Walnut Mushroom Veg Bolognese  With A Twis,35
